MF,Part/Description,Grp,Sts,OEM,Bin/Shelf,O/H,O/O,B/O,Core,Cost,Trade,List,ExtCost
HY,ABF12-AC000 : REVERSIBLE CARGO TRAY,210, N,,814,3,,,,97,133,156,291
HY,ABF13-AC600 : ALL SEASON FITTED LIN,210, N,,B4/G00,1,,,,184,241,283,184
HY,"ABF46-AKA00 : MUD GUARDS, FRONT",210, N,,A4/A00,1,,,,23,34,40,23
HY,"ABF46-AKF00 : MUD GUARDS, REAR",210, N,,A4/A00,2,,,,23,34,40,46
HY,BFH68-AK500 : CONNECTOR-VEHICLE TO,200, N,,B1/D00,1,,,,190,225,265,190
HY,B8161-ADUS8 : TOW HITCH HARNESS (4P,210, N,,A4/E00,2,,,,96,132,155,192
HY,CUT : KEY,200, A,,SPORD,0,,,,0.01,60,60,
HY,CWF12-AC100 : CARGO NET WO/WOOFER,210, N,,B2/F00,1,,,,45,58,68,45
HY,CWF12-AC110 : LUGGAGE NET,210, N,,B2/F00,1,,,,45,58,68,45
HY,CWF13-AU100 : ALL SEASON FITTED LIN,200, A,,B4/F00,1,,,,217,260,306,217
HY,CWF21-AU000 : CROSSBAR,210, N,,B5/A00,1,,,,285,372,438,285
HY,CWF46-ACA00 : FRONT MUD GUARD KIT,210, N,,B2/H00,1,,,,22,33,39,22
HY,CWF46-ACF00 : REAR MUD GUARD KIT,210, N,,B1/E00,1,,,,22,33,39,22
HY,CWF46-ACJ10 : RR MUD GUARD KIT,200, N,,B2/H00,1,,,,22,33,39,22
HY,CWF46AC000 : MUD GUARD KIT,210, N,,B1/D00,3,,,,38,57.8,68,114
HY,CWF61-AU300 : TOW HITCH KIT,200, N,,WALL2,1,,,,362,475,559,362
HY,CWF67-AC000 : TOW HITCH HARNESS,200, N,,B1/K00,1,,,,174,224,264,174
HY,CWF69-AU000 : LLUMINATED DOOR SCUFF,200, N,,B2/G00,1,,,,335,380,447,335
